neighborhood,price,rooms,area,category,price_per_m2
Ali Demi,206000,3.0,104.0,sale,1980.7692307692307
Ali Demi,144000,2.0,111.0,sale,1297.2972972972973
Ali Demi,210000,2.0,140.0,sale,1500.0
Ali Demi,145000,2.0,103.0,sale,1407.7669902912621
Ali Demi,75000,1.0,47.0,sale,1595.7446808510638
Ali Demi,100000,2.0,58.0,sale,1724.1379310344828
Ali Demi,306000,2.0,139.1,sale,2199.856218547807
Ali Demi,140000,3.0,88.0,sale,1590.909090909091
Ali Demi,324900,2.0,147.7,sale,2199.7291807718348
Ali Demi,194000,3.0,107.0,sale,1813.0841121495328
Ali Demi,149350,3.0,82.0,sale,1821.341463414634
Ali Demi,210000,2.0,105.0,sale,2000.0
Ali Demi,103000,2.0,61.0,sale,1688.5245901639344
Ali Demi,168000,5.0,105.0,sale,1600.0
Ali Demi,92000,1.0,65.0,sale,1415.3846153846155
Ali Demi,100000,2.0,56.0,sale,1785.7142857142858
Ali Demi,125500,2.0,81.0,sale,1549.3827160493827
Ali Demi,199000,2.0,140.0,sale,1421.4285714285713
Ali Demi,95000,2.0,67.0,sale,1417.910447761194
Ali Demi,45000,3.0,86.0,rent,523.2558139534884
Ali Demi,164000,3.0,94.0,sale,1744.6808510638298
Ali Demi,103000,2.0,64.4,sale,1599.3788819875774
Ali Demi,90000,1.0,67.0,sale,1343.2835820895523
Ali Demi,88000,2.0,70.5,sale,1248.22695035461
Ali Demi,45000,2.0,60.0,rent,750.0
Ali Demi,89000,2.0,53.0,sale,1679.245283018868
Ali Demi,38000,2.0,60.0,rent,633.3333333333334
Ali Demi,55000,3.0,100.0,rent,550.0
Ali Demi,93000,2.0,64.0,sale,1453.125
Ali Demi,95000,2.0,74.0,sale,1283.7837837837837
Allias,37000,1.0,50.0,rent,740.0
Allias,78000,2.0,56.0,sale,1392.857142857143
Allias,105000,2.0,72.0,sale,1458.3333333333333
Allias,75000,2.0,65.0,sale,1153.8461538461538
Allias,70000,1.0,54.0,sale,1296.2962962962963
Allias,75000,3.0,75.0,sale,1000.0
Allias,35000,2.0,60.0,rent,583.3333333333334
Allias,75000,2.0,57.0,sale,1315.7894736842106
Allias,78000,1.0,56.0,sale,1392.857142857143
Allias,140000,3.0,70.0,sale,2000.0
Allias,88000,1.0,60.0,sale,1466.6666666666667
Allias,88000,1.0,54.0,sale,1629.6296296296296
Allias,140000,1.0,91.0,sale,1538.4615384615386
Allias,150000,3.0,124.0,sale,1209.6774193548388
Allias,75000,1.0,57.0,sale,1315.7894736842106
Allias,45000,2.0,124.0,rent,362.9032258064516
Allias,91000,2.0,75.0,sale,1213.3333333333333
Allias,102000,2.0,72.0,sale,1416.6666666666667
Allias,101000,3.0,72.0,sale,1402.7777777777778
Allias,75000,1.0,56.0,sale,1339.2857142857142
Allias,75000,2.0,72.0,sale,1041.6666666666667
